Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount
Rocket League® - Batman v Superman: Dawn of Justice Car Pack,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,76%,1480
Rocket League x Monstercat Vol. 2,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,84%,13
Inside Me,['win'],-85%,$7.99,$1.19,69%,13
Bot Vice,['win'/ 'mac'/ 'lin'],-60%,$4.99,$1.99,95%,790
Classic Card Games 3D,['win'],-30%,$19.99,$13.99,0%,0
Space Tycoon | 星际大亨,['win'],-25%,$16.99,$12.74,0%,0
Broken Reality,['win'],-10%,$14.99,$13.49,0%,0
Origin of Decay,['win'],-10%,$9.99,$8.99,0%,0
Deponia Soundtrack,['win'/ 'mac'/ 'lin'],-75%,$2.99,$0.74,0%,0
TurbOT Racing,['win'],-51%,$0.99,$0.49,0%,0
Worms Blast,['win'],-80%,$7.99,$1.59,56%,69
Killer Instinct - Killer Cuts Edition (Game + Soundtrack),['win'],,								$43.69,								$43.69,87%,1272
Ultimate Desktop Character Engine,['win'],-20%,$2.99,$2.39,0%,0
Griefer,['win'],-51%,$0.99,$0.49,0%,0
Moonchild,['win'],-80%,$9.99,$1.99,63%,49
CoreOptimizer,['win'],-30%,$9.99,$6.99,55%,18
Legend Of Mercy 神医魔导,['win'],-30%,$9.99,$6.99,84%,153
Lost Lands: The Four Horsemen,['win'/ 'mac'],-65%,$6.99,$2.44,96%,121
Pixel Puzzles 2: Christmas,['win'],-15%,$9.99,$8.49,0%,0
Stefanos Sizzling Pizza Pie,['win'],-51%,$0.99,$0.49,0%,0
Life Game,['win'],-25%,$4.99,$3.74,0%,0
Miniballist,['win'],-51%,$0.99,$0.49,0%,0
Rocket League® - Back to the Future™ Car Pack,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,92%,1322
GameGuru Mega Pack 1,['win'],-60%,$24.99,$9.99,0%,0
