Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
Rocket League® - Aftershock,['win'/ 'mac'/ 'lin'],-20%,$1.99 ,$0.99 ,87%,313,,
Mega Bundle,['win'],-10%,$52.58 ,$36.41 ,63%,313,,
Bullid Games,['win'/ 'mac'/ 'lin'],,$36.86 ,$23.65 ,76%,302,,
Machine Hunt,['win'/ 'mac'/ 'lin'],-90%,$2.99 ,$0.49 ,52%,302,,
Rocket League® - Jurassic World™ Car Pack,['win'/ 'mac'/ 'lin'],-80%,$1.99 ,$0.99 ,87%,299,,
Rocket League® - Vulcan,['win'/ 'mac'/ 'lin'],-40%,$1.99 ,$0.99 ,87%,279,,
TrackMania² Valley,['win'],,$19.99 ,$9.99 ,76%,276,,
Andarilho Collection,['win'],,$4.95 ,$1.20 ,55%,271,,
Shooting Stars!,['win'/ 'mac'],-40%,$4.99 ,$0.49 ,92%,266,,
GexagonVR Collection,['win'],-50%,$23.95 ,$8.70 ,78%,261,,
Bad North - Deluxe Edition,['win'/ 'mac'],-50%,$21.98 ,$18.43 ,76%,260,,
Bad North,['win'/ 'mac'],-10%,$14.99 ,$13.49 ,76%,256,,
Tracks - The Train Set Game,['win'],-30%,$19.99 ,$14.99 ,90%,239,,
Civilization VI - Nubia Civilization & Scenario Pack,['win'/ 'mac'/ 'lin'],-51%,$4.99 ,$3.34 ,37%,237,,
Ultimate Booster Experience,['win'/ 'hmd'/ 'htc'/ 'ocu'/ 'win'],-25%,$4.99 ,$2.49 ,79%,227,,
devotid Collection,['win'/ 'mac'/ 'lin'],,$22.98 ,$15.28 ,54%,227,,
Wonderbox MEGA Bundle,['win'/ 'mac'],-51%,$64.86 ,$22.01 ,47%,222,,
懒人修仙传,['win'],-40%,$3.99 ,$3.19 ,64%,219,,
Rocket League® - Marauder,['win'/ 'mac'/ 'lin'],-20%,$1.99 ,$0.99 ,89%,216,,
Civilization VI - Khmer and Indonesia Civilization & Scenario Pack,['win'/ 'mac'/ 'lin'],-50%,$8.99 ,$6.02 ,48%,216,,
Viki Spotter Bundle,['win'/ 'mac'/ 'lin'],,$17.90 ,$13.03 ,96%,208,,
Rocket League® - Hot Wheels® Twin Mill™ III,['win'/ 'mac'/ 'lin'],-30%,$1.99 ,$0.99 ,88%,206,,
Underworld Ascendant,['win'],-50%,$29.99 ,$25.49 ,39%,206,,
NukGames Newcomers Bundle,['win'],,$4.95 ,$0.90 ,88%,203,,
Princess.Loot.Pixel.Again + Soundtrack!,['win'],-40%,,,73%,203,,
360 No Scope Arena,['win'],,$0.99 ,$0.89 ,91%,202,,
Immortal: Unchained,['win'],-50%,$49.99 ,$24.99 ,69%,201,,
AppGameKit Unlimited,['win'],-40%,$399.86 ,$132.80 ,83%,198,,
Elisa the Innkeeper Collection,['win'/ 'mac'],,,,71%,191,,
Invisigun Heroes,['win'/ 'mac'/ 'lin'],-30%,$14.99 ,$4.49 ,91%,190,,
Glittermitten Grove,['win'/ 'mac'/ 'lin'],-75%,$19.99 ,$8.59 ,86%,190,,
Rocket League® - Triton,['win'/ 'mac'/ 'lin'],-84%,$1.99 ,$0.99 ,88%,185,,
Phantom Brave PC Digital Chroma Edition / ファントム・ブレイブ PC デジタル限定版 (Game + Art Book),['win'],-15%,,,92%,178,,
Age of Fear 2: The Chaos Lord GOLD,['win'/ 'mac'/ 'lin'],-50%,$19.99 ,$3.99 ,88%,174,,
Trackmania² Lagoon,['win'],,$19.99 ,$9.99 ,59%,173,,
Strategy Bundle,['win'/ 'mac'],-50%,$4.98 ,$2.37 ,53%,173,,
killer7: Digital Limited Edition,['win'],,$32.97 ,$26.70 ,95%,172,,
killer7,['win'],,$19.99 ,$17.99 ,96%,170,,
RC Simulation 2.0,['win'/ 'mac'/ 'lin'],-10%,$14.99 ,$8.99 ,60%,170,,
New York Mysteries: High Voltage,['win'/ 'mac'],-40%,$6.99 ,$2.44 ,92%,164,,
Hidden Object Adventure Bundle,['win'],-30%,$14.97 ,$10.36 ,46%,158,,
Rocket League® – Fast & Furious™ '70 Dodge® Charger R/T,['win'/ 'mac'/ 'lin'],-50%,$1.99 ,$0.99 ,86%,154,,
S2ENGINE HD - Starter Collection,['win'],-63%,$59.97 ,$32.97 ,68%,153,,
异种战争少女 Alien War Girl,['win'],,$3.99 ,$2.39 ,77%,152,,
S2ENGINE HD - Easy Game Maker Edition,['win'],,$29.98 ,$21.23 ,68%,151,,
Rocket League: Official Game Soundtrack,['win'/ 'mac'/ 'lin'],-50%,$4.99 ,$2.49 ,54%,150,,
Ultimate Indie Bundle,['win'],-25%,$28.95 ,$13.45 ,71%,139,,
Ant War: Domination,['win'/ 'mac'/ 'lin'],-25%,$2.99 ,$0.98 ,58%,137,,
Rocket League® - Esper,['win'/ 'mac'/ 'lin'],-30%,$1.99 ,$0.99 ,88%,136,,
Barro Collection,['win'],,$2.97 ,$1.22 ,78%,134,,
Kou Shibusawa Archives Vol.1-5 / シブサワ・コウ アーカイブスパック Vol.1-5,['win'],-50%,$229.85 ,$112.55 ,76%,134,,
Henteko Shmups Bundle,['win'],,$48.93 ,$41.96 ,97%,130,,
AppGameKit: Easy Game Development,['win'/ 'mac'/ 'lin'],-65%,$79.99 ,$39.99 ,86%,130,,
Planet Coaster - Spooky Pack,['win'],-33%,$10.99 ,$9.34 ,76%,130,,
BadWolf Games Full Pack,['win'],-50%,$14.96 ,$1.82 ,67%,130,,
Barro,['win'],-90%,$0.99 ,$0.49 ,79%,129,,
BadWolf Games Pack,['win'],-30%,$14.96 ,$5.20 ,68%,129,,
The Islander,['win'],,$2.99 ,$2.00 ,72%,127,,
Violet Feature Bundle,['win'/ 'mac'/ 'lin'],,,,90%,122,,
BIT.TRIP FLUX,['win'/ 'mac'],,$9.99 ,$0.99 ,54%,119,,
Bit.Trip.Flux with Soundtrack,['win'/ 'mac'],,$11.99 ,$1.55 ,54%,119,,
